,sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,feedback_type,trial,SP_peak_response,FB_peak_response,preStim_bl,anticipation
0,001,1,1,csm,37b.png,1,1,28,298,-90,21,1,1,307,neu_feedback_onset,1,9.625726223007046,-0.009885007280520332,5.36853,-0.0891250000000019
1,001,1,1,csp,53a.png,1,1,332,317,-15,331,1,1,420,pos_feedback_onset,2,5.420620340715936,4.547473385790864,5.53599,0.10402500000000003
2,001,1,1,csp,22a.png,1,1,268,322,54,272,1,1,298,pos_feedback_onset,3,10.876772721298924,4.325670178625626,5.021940000000001,0.05227000000000004
3,001,1,1,csm,46b.png,1,1,304,313,9,298,1,0,246,neu_feedback_onset,4,6.731545912815551,0.24173712190004198,5.527704999999999,-0.049714999999999954
4,001,1,1,csp,64a.png,1,1,240,304,64,248,1,0,295,neg_feedback_onset,5,4.874469842393124,1.1810454742493914,5.284985,0.08700499999999955
5,001,1,1,csp,51a.png,1,1,164,144,-20,162,1,1,278,pos_feedback_onset,6,1.2345439064119317,5.110272255967302,5.402400000000002,0.35506999999999955
6,001,1,1,csm,44b.png,1,1,216,86,-130,210,1,1,394,neu_feedback_onset,7,4.024239070383643,4.707745451682938,5.457305,0.0037400000000005207
7,001,1,1,csm,18b.png,1,1,188,42,-146,182,1,1,318,neu_feedback_onset,8,2.228755171131171,2.195821157439041,5.2962299999999995,0.31547000000000125
8,001,1,1,csp,37a.png,1,1,328,30,62,329,1,1,375,pos_feedback_onset,9,3.7420281851739725,4.117303766873716,5.595495,-0.21199500000000082
9,001,1,1,csp,44a.png,1,1,292,282,-10,292,1,1,417,pos_feedback_onset,10,4.829993730499625,3.2512026509635525,5.447004999999999,0.05521999999999938
10,001,1,1,csm,56b.png,1,1,116,87,-29,133,1,1,294,neu_feedback_onset,11,6.3657775917599535,1.017992505703298,5.292205,0.38120000000000065
11,001,1,1,csm,28b.png,1,1,244,276,32,249,1,1,250,neu_feedback_onset,12,0.07980867130493652,7.849522627100579,5.65728,-0.15408999999999917
12,001,1,1,csm,54b.png,1,1,232,226,-6,239,1,1,409,neu_feedback_onset,13,-0.02827269357745993,1.4026718066256338,5.800650000000001,-0.03294500000000067
13,001,1,1,csp,36a.png,1,1,20,356,-24,28,1,1,369,pos_feedback_onset,14,5.3063488014011435,2.1218172968005846,5.526870000000001,-0.018719999999998294
14,001,2,1,csm,1b.png,1,1,256,321,65,255,1,0,NaN,neu_feedback_onset,1,3.432706461534148,5.802509522508623,5.69973,-0.10329000000000033
15,001,2,1,csm,51b.png,1,1,228,37,169,239,1,1,310,neu_feedback_onset,2,3.873873217369769,4.289915762974415,5.4890799999999995,0.3729949999999995
16,001,2,1,csp,26a.png,1,1,176,232,56,174,1,1,588,neg_feedback_onset,3,3.9919816153258845,4.036510030809344,5.5198149999999995,0.3292700000000002
17,001,2,1,csm,34b.png,1,0,148,NaN,NaN,147,1,1,347,neu_feedback_onset,4,2.780109153763457,2.8690513676909086,5.510574999999999,
18,001,2,1,csm,14b.png,1,1,280,213,-67,278,1,1,437,neu_feedback_onset,5,0.75555091009541,2.043946814935336,5.35768,0.09901499999999963
19,001,2,1,csm,63b.png,1,1,16,147,131,17,1,1,601,neu_feedback_onset,6,12.922122119702495,2.709657778334911,5.340535000000001,-0.27415500000000037
20,001,2,1,csp,34a.png,1,0,308,NaN,NaN,310,1,1,313,pos_feedback_onset,7,3.2831041763036097,2.8656573685496705,5.5558700000000005,-0.05530999999999864
21,001,2,1,csm,50b.png,1,1,48,326,-82,56,1,1,291,neu_feedback_onset,8,4.415560292185017,1.6023751690796033,5.383575,0.295300000000001
22,001,2,1,csp,2a.png,1,1,132,49,-83,131,1,1,305,pos_feedback_onset,9,7.791780225820487,3.0909051862987114,5.23956,0.2196750000000005
23,001,2,1,csp,65a.png,1,1,92,82,-10,93,1,1,319,pos_feedback_onset,10,1.0310116894141024,5.3009482423701595,5.7783050000000005,-0.1901250000000001
24,001,2,1,csp,17a.png,1,1,64,52,-12,59,1,1,336,pos_feedback_onset,11,4.717402223210003,8.34428754910564,5.365664999999999,-0.46647000000000016
25,001,2,1,csp,45a.png,1,1,24,337,-47,19,1,0,340,neg_feedback_onset,12,0.11066385718423184,0.856206673650892,5.557370000000001,0.08993999999999946
26,001,2,1,csm,59b.png,1,1,196,212,16,200,1,1,425,neu_feedback_onset,13,2.030288389695076,5.9146033943894585,5.453905000000001,0.12761500000000048
27,001,2,1,csp,40a.png,1,1,320,273,-47,320,1,1,348,pos_feedback_onset,14,8.823859187258382,5.939036364024444,5.485015,-0.3070750000000002
