sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,ITI_dur,feedback_type,trial,mouse_resp_timestamp,trial_type_tm1,ITI_dur_tm1
052,1,2,csp,5b.png,1,1,288,309,21,288,1,1,281,5076,pos_feedback_onset,1,161852,csm,4500
052,1,2,csp,44b.png,1,1,4,7,3,5,1,1,272,5307,pos_feedback_onset,2,178534,csp,5076
052,1,2,csm,47a.png,1,1,276,137,-139,276,1,1,457,5538,neu_feedback_onset,3,196853,csp,5307
052,1,2,csp,22b.png,1,1,28,38,10,30,1,0,227,3000,neg_feedback_onset,4,214153,csm,5538
052,1,2,csp,63b.png,1,1,100,356,-104,98,1,1,325,4384,pos_feedback_onset,5,228314,csp,3000
052,1,2,csm,60a.png,1,1,140,138,-2,137,1,1,412,3692,neu_feedback_onset,6,244446,csp,4384
052,1,2,csp,39b.png,1,0,340,265,-75,339,1,1,410,4846,pos_feedback_onset,7,261262,csm,3692
052,1,2,csm,33a.png,1,1,208,231,23,208,1,1,345,3461,neu_feedback_onset,8,278662,csp,4846
052,1,2,csp,30b.png,1,1,136,218,82,135,1,1,247,4153,pos_feedback_onset,9,295996,csm,3461
052,1,2,csm,44a.png,1,1,104,87,-17,104,1,1,334,5769,neu_feedback_onset,10,312946,csp,4153
052,1,2,csm,18a.png,1,1,144,314,170,NaN,0,1,476,4615,neu_feedback_onset,11,NaN,csm,5769
052,1,2,csp,57b.png,1,1,224,221,-3,223,1,1,254,6000,pos_feedback_onset,12,349901,csm,4615
052,1,2,csm,28a.png,1,1,16,45,29,14,1,1,512,3230,neu_feedback_onset,13,368671,csp,6000
052,1,2,csm,48a.png,1,1,152,301,149,149,1,1,580,3923,neu_feedback_onset,14,383350,csm,3230
052,2,2,csp,27b.png,1,1,8,4,-4,9,1,1,338,3692,pos_feedback_onset,1,13649,csm,4500
052,2,2,csm,16a.png,1,0,348,87,99,347,1,1,417,5307,neu_feedback_onset,2,29229,csp,3692
052,2,2,csp,9b.png,1,1,264,190,-74,264,1,1,342,3923,pos_feedback_onset,3,45761,csm,5307
052,2,2,csp,58b.png,1,1,300,251,-49,301,1,1,336,4384,pos_feedback_onset,4,61826,csp,3923
052,2,2,csp,50b.png,1,1,92,315,-137,92,1,1,343,3230,pos_feedback_onset,5,79209,csp,4384
052,2,2,csm,65a.png,1,1,96,131,35,97,1,0,184,5076,neu_feedback_onset,6,95625,csp,3230
052,2,2,csm,38a.png,1,1,40,335,-65,40,1,1,405,4615,neu_feedback_onset,7,113559,csm,5076
052,2,2,csp,66b.png,1,1,192,NaN,NaN,193,1,1,609,3000,neg_feedback_onset,8,129874,csm,4615
052,2,2,csm,49a.png,1,1,0,219,-141,359,1,1,106,4153,neu_feedback_onset,9,144653,csp,3000
052,2,2,csp,34b.png,1,1,44,191,147,44,1,1,185,3461,pos_feedback_onset,10,161403,csm,4153
